Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",8.46258648152235,4.355553810390975,4.107032671131376,6.473527589257588,1.8380745189283836,84050,2,3
"[1, 1, 0, 0, 1]",6.559494518334796,5.103912597135533,1.455581921199263,6.398200528669346,1.816917266059728,85546,3,2
"[1, 1, 0, 1, 0]",6.739148806041255,5.18440324322903,1.5547455628122249,6.439648843224549,1.6630359481076196,30041,3,2
"[1, 1, 0, 1, 1]",4.3681901093493405,5.163561180583051,-0.7953710712337108,6.428810180709696,1.7738250042596762,73222,4,1
"[1, 1, 1, 0, 0]",6.811434309387605,5.006700265420256,1.8047340439673487,6.517583993476867,1.8018522109526625,67709,3,2
"[1, 1, 1, 0, 1]",4.378504747571392,5.222309496156447,-0.8438047485850548,6.46338762751141,1.7819886472799575,58274,4,1
"[1, 1, 1, 1, 0]",4.544842591018492,5.224473517552991,-0.6796309265344993,6.44848425913758,1.7953078492247876,82997,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,0.0,6.5791769090054455,1.8269238996856374,45752,5,0
"[1, 0, 0, 0, 0]",8.880632374009961,3.642053627733947,5.238578746276014,6.404950762381171,1.7330195783433902,70467,1,4
"[1, 0, 0, 0, 1]",8.375083503661566,4.253176841419599,4.121906662241967,6.5629426822285915,1.8317503233855519,3706,2,3
"[1, 0, 0, 1, 0]",8.209954934614208,4.172352462677588,4.03760247193662,6.479722159954725,1.8097762750332167,10070,2,3
"[1, 0, 0, 1, 1]",7.00602742255189,4.9349153774554795,2.0711120450964104,6.5026286900920915,1.7131574046570839,7362,3,2
"[1, 0, 1, 0, 0]",7.80988445155432,4.385025084048415,3.4248593675059054,6.379849115051973,1.8951339057005223,83948,2,3
"[1, 0, 1, 0, 1]",7.1687042863216375,4.724797551291397,2.4439067350302404,6.418176845099482,1.6778191424754638,44105,3,2
"[1, 0, 1, 1, 0]",6.6716142404673136,4.88368871157445,1.7879255288928633,6.489038378940662,1.7662586815454044,94431,3,2
"[1, 0, 1, 1, 1]",4.492035677461133,5.2424321873370126,-0.7503965098758796,6.451826285338742,1.7785847455838995,89500,4,1
