Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",4.4931407162609664,2.1305208462294734,4.946802144416842,0.44842572095266336,33371,2,3
"[1, 1, 0, 0, 1]",4.152992052050355,2.463899953879974,5.0592134198463965,0.4385993394331378,16669,3,2
"[1, 1, 0, 1, 0]",4.501085607641054,2.274279502242155,4.994074270798789,0.461268325579774,52550,3,2
"[1, 1, 0, 1, 1]",2.3889421010843988,2.866124489901619,5.01419180677569,0.42557832752213315,23404,4,1
"[1, 1, 1, 0, 0]",4.014759606825467,2.6214572127371265,5.053453164342296,0.41677300244315574,4765,3,2
"[1, 1, 1, 0, 1]",2.7926652213942726,2.8959485867530947,5.010717022351564,0.4908926948926341,1115,4,1
"[1, 1, 1, 1, 0]",2.4252827489182325,2.8146864642166083,5.023319368772951,0.4137313846903801,12721,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,5.081544233782905,0.45932446194346943,782,5,0
"[1, 0, 0, 0, 0]",4.944060278241867,1.7392274764455062,5.071075354705049,0.44458648903515907,76063,1,4
"[1, 0, 0, 0, 1]",4.905860028964638,1.7844758648097954,5.021823984157725,0.4030713717325704,47177,2,3
"[1, 0, 0, 1, 0]",4.8319449594784825,1.908310077595674,4.94924162612599,0.42074609251430717,52346,2,3
"[1, 0, 0, 1, 1]",4.369903998208854,2.341274633951817,5.09022931274821,0.42885990952343583,37389,3,2
"[1, 0, 1, 0, 0]",4.7139766222712876,2.017116627360281,5.002302694722937,0.41227786466968136,10357,2,3
"[1, 0, 1, 0, 1]",4.181889319845606,2.51722847946928,5.036980974791243,0.45593104624257835,13828,3,2
"[1, 0, 1, 1, 0]",4.154719502089553,2.3669441329635506,4.995018679076591,0.444210434459879,35140,3,2
"[1, 0, 1, 1, 1]",2.8350420794471556,2.9656430807210077,5.034573688918735,0.47600204812707153,79986,4,1
